Target Schema,Query Attribute,Matched Attribute,Confidence Score,Match Type
Mpox,specimen_processing,specimen_processing,100.0%,Exact
Mpox,nml_submitted_specimen_type,nml_submitted_specimen_type,100.0%,Exact
Mpox,sequencing_kit_number,sequencing_kit_number,100.0%,Exact
Mpox,anatomical_material,anatomical_material,100.0%,Exact
Mpox,insdc_assembly_accession,insdc_assembly_accession,100.0%,Exact
Mpox,consensus_sequence_name,consensus_sequence_name,100.0%,Exact
Mpox,bioinformatics_protocol,bioinformatics_protocol,100.0%,Exact
Mpox,specimen_collector_sample_id,specimen_collector_sample_id,100.0%,Exact
Mpox,organism,organism,100.0%,Exact
Mpox,host_residence_geo_loc_name_country,host_residence_geo_loc_name_country,100.0%,Exact
Mpox,geo_loc_name_country,geo_loc_name_country,100.0%,Exact
Mpox,sequencing_instrument,sequencing_instrument,100.0%,Exact
Mpox,library_preparation_kit,library_preparation_kit,100.0%,Exact
Mpox,diagnostic_pcr_ct_value_1,diagnostic_pcr_ct_value_1,100.0%,Exact
Mpox,host_scientific_name,host_scientific_name,100.0%,Exact
Mpox,sample_received_date,sample_received_date,100.0%,Exact
Mpox,consensus_sequence_software_version,consensus_sequence_software_version,100.0%,Exact
Mpox,consensus_sequence_software_name,consensus_sequence_software_name,100.0%,Exact
Mpox,prior_mpox_infection,prior_mpox_infection,100.0%,Exact
Mpox,geo_loc_name_state_province_territory,geo_loc_name_state_province_territory,100.0%,Exact
Mpox,experimental_specimen_role_type,experimental_specimen_role_type,100.0%,Exact
Mpox,dehosting_method,dehosting_method,100.0%,Exact
Mpox,sample_collection_date_precision,sample_collection_date_precision,100.0%,Exact
Mpox,host_role,host_role,100.0%,Exact
Mpox,sample_collector_contact_address,sample_collector_contact_address,100.0%,Exact
Mpox,location_of_exposure_geo_loc_name_country,location_of_exposure_geo_loc_name_country,100.0%,Exact
Mpox,host_age_unit,host_age_unit,100.0%,Exact
Mpox,exposure_event,exposure_event,100.0%,Exact
Mpox,biosample_accession,biosample_accession,100.0%,Exact
Mpox,travel_history,travel_history,100.0%,Exact
Mpox,number_of_vaccine_doses_received,number_of_vaccine_doses_received,100.0%,Exact
Mpox,symptom_onset_date,symptom_onset_date,100.0%,Exact
Mpox,consensus_sequence_filename,consensus_sequence_filename,100.0%,Exact
Mpox,destination_of_most_recent_travel_state_province_territory,destination_of_most_recent_travel_state_province_territory,100.0%,Exact
Mpox,host_health_outcome,host_health_outcome,100.0%,Exact
Mpox,authors,authors,100.0%,Exact
Mpox,host_residence_geo_loc_name_state_province_territory,host_residence_geo_loc_name_state_province_territory,100.0%,Exact
Mpox,body_product,body_product,100.0%,Exact
Mpox,host_disease,host_disease,100.0%,Exact
Mpox,gene_name_1,gene_name_1,100.0%,Exact
Mpox,destination_of_most_recent_travel_country,destination_of_most_recent_travel_country,100.0%,Exact
Mpox,amplicon_pcr_primer_scheme,amplicon_pcr_primer_scheme,100.0%,Exact
Mpox,sample_collection_date,sample_collection_date,100.0%,Exact
Mpox,insdc_sequence_read_accession,insdc_sequence_read_accession,100.0%,Exact
Mpox,signs_and_symptoms,signs_and_symptoms,100.0%,Exact
Mpox,prior_mpox_antiviral_treatment,prior_mpox_antiviral_treatment,100.0%,Exact
Mpox,host_health_state,host_health_state,100.0%,Exact
Mpox,exposure_setting,exposure_setting,100.0%,Exact
Mpox,sequence_submitter_contact_address,sequence_submitter_contact_address,100.0%,Exact
Mpox,amplicon_size,amplicon_size,100.0%,Exact
Mpox,breadth_of_coverage_value,breadth_of_coverage_value,100.0%,Exact
